2024-04-06 13:27:49,759 INFO    MainThread:17112 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_setup.py:_flush():76] Configure stats pid to 17112
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Anjalina\.config\wandb\settings
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Anjalina\Desktop\logisticreg\wandb\settings
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'task1_pixi.py', 'program_abspath': 'C:\\Users\\Anjalina\\Desktop\\logisticreg\\task1_pixi.py', 'program': 'C:\\Users\\Anjalina\\Desktop\\logisticreg\\task1_pixi.py'}
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_init.py:_log_setup():527] Logging user logs to C:\Users\Anjalina\Desktop\logisticreg\wandb\run-20240406_132749-yvoe95l0\logs\debug.log
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_init.py:_log_setup():528] Logging internal logs to C:\Users\Anjalina\Desktop\logisticreg\wandb\run-20240406_132749-yvoe95l0\logs\debug-internal.log
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_init.py:init():567] calling init triggers
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {}
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_init.py:init():617] starting backend
2024-04-06 13:27:49,775 INFO    MainThread:17112 [wandb_init.py:init():621] setting up manager
2024-04-06 13:27:49,791 INFO    MainThread:17112 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-04-06 13:27:49,791 INFO    MainThread:17112 [wandb_init.py:init():629] backend started and connected
2024-04-06 13:27:49,822 INFO    MainThread:17112 [wandb_init.py:init():721] updated telemetry
2024-04-06 13:27:49,822 INFO    MainThread:17112 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-04-06 13:27:53,436 INFO    MainThread:17112 [wandb_run.py:_on_init():2344] communicating current version
2024-04-06 13:27:58,458 INFO    MainThread:17112 [wandb_run.py:_on_init():2353] got version response 
2024-04-06 13:27:58,458 INFO    MainThread:17112 [wandb_init.py:init():805] starting run threads in backend
2024-04-06 13:27:58,865 INFO    MainThread:17112 [wandb_run.py:_console_start():2323] atexit reg
2024-04-06 13:27:58,865 INFO    MainThread:17112 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-04-06 13:27:58,865 INFO    MainThread:17112 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-04-06 13:27:58,865 INFO    MainThread:17112 [wandb_run.py:_redirect():2268] Redirects installed.
2024-04-06 13:27:58,881 INFO    MainThread:17112 [wandb_init.py:init():848] run started, returning control to user process
2024-04-06 13:28:00,037 INFO    MainThread:17112 [wandb_run.py:_config_callback():1347] config_cb None None {'penalty': 'l2', 'solver': 'liblinear', 'C': 0.3774040520916533, 'fit_intercept': False, 'intercept_scaling': 0.8598224969727576, 'l1_ratio': None}
2024-04-06 13:28:00,037 INFO    MainThread:17112 [wandb_run.py:_config_callback():1347] config_cb None None {'penalty': 'l2', 'solver': 'liblinear', 'C': 0.3774040520916533, 'fit_intercept': False, 'intercept_scaling': 0.8598224969727576, 'l1_ratio': None}
2024-04-06 13:30:38,001 INFO    MainThread:17112 [wandb_run.py:_finish():2052] finishing run anjanaslekshmi/task1_pixi/yvoe95l0
2024-04-06 13:30:38,001 INFO    MainThread:17112 [wandb_run.py:_atexit_cleanup():2292] got exitcode: 0
2024-04-06 13:30:38,001 INFO    MainThread:17112 [wandb_run.py:_restore():2275] restore
2024-04-06 13:30:38,001 INFO    MainThread:17112 [wandb_run.py:_restore():2281] restore done
2024-04-06 13:30:48,691 INFO    MainThread:17112 [wandb_run.py:_footer_history_summary_info():3920] rendering history
2024-04-06 13:30:48,691 INFO    MainThread:17112 [wandb_run.py:_footer_history_summary_info():3952] rendering summary
2024-04-06 13:30:48,707 INFO    MainThread:17112 [wandb_run.py:_footer_sync_info():3879] logging synced files
